"id","name","enabled","provider_reference","sample_xmltv_id","epg_name","notes"
"a001","A&E HD","True","directv.com.co","A&E HD(A&EHD)(207)","A&E HD","match fuerte"
"a009","AdultSwim","True","manual-user","AdultSwim","AdultSwim","renombre manual confirmado por usuario"
"a002","AMC HD","True","directv.com.co","AMC HD(AMCHD)(210)","AMC HD","match fuerte"
"a00b","Animal Planet HD","True","directv.com.co","Animal Planet HD(ANMLHD)(1734)","Animal Planet HD","match fuerte"
"a003","ATV +","True","manual-user","ATV +","ATV +","renombre manual confirmado por usuario"
"a008","AXN","True","movistar.co","AXN","AXN","match fuerte"
"a00e","BABY TV","True","manual-user","BABY TV","BABY TV","renombre manual confirmado por usuario"
"a00c","BETHEL TV","False","manual-user","BETHEL TV","BETHEL TV","nombre confirmado por usuario"
"a00d","BLU Radio","True","manual-user","BLU Radio","BLU Radio","nombre confirmado por usuario"
"a00a","Canal América Televisión","True","manual-user","Canal América Televisión","Canal América Televisión","renombre manual confirmado por usuario"
"a01s","CANAL DE LAS ESTRELLAS","True","manual-user","CANAL DE LAS ESTRELLAS","CANAL DE LAS ESTRELLAS","renombre manual confirmado por usuario"
"a00k","Canal Uno","True","directv.com.co","Canal Uno (COL)(CAN1)(136)","Canal Uno","si usas DIRECTV"
"a00f","CARACOL INTERNACIONAL","True","manual-user","CARACOL INTERNACIONAL","CARACOL INTERNACIONAL","renombre manual confirmado por usuario"
"a00i","Caracol TV","True","directv.com.co","Caracol TV (COL)(CARA)(132)","Caracol TV","match fuerte"
"a00g","CARACOL TV HD","True","directv.com.co","Caracol TV HD (COL)(CARAHD)(132)","Caracol TV HD","match fuerte"
"a00l","Cartoon Network HD","True","directv.com.co","Cartoon Network HD(TOONHD)(1304)","Cartoon Network HD","match fuerte"
"a00m","Cinecanal HD","True","directv.com.co","Cinecanal HD(CCHD)(1507)","Cinecanal HD","match fuerte"
"a00n","Cinemax","True","movistar.co","Cinemax","Cinemax","match fuerte"
"a00o","City TV","True","directv.com.co","City TV (COL)(CITY)(133)","City TV","match fuerte"
"a00h","CNN Español","True","claro.com.co","CNN EN ESPANOL","CNN EN ESPANOL","si usas Claro; en otros puede variar el acento"
"a00p","Comedy Central HD","True","claro.com.co","COMEDY CENTRAL","COMEDY CENTRAL","si usas Claro; revisar HD según proveedor"
"a00q","DE PELICULA","True","manual-user","DE PELICULA","DE PELICULA","renombre manual confirmado por usuario"
"a00r","Discovery Channel","True","movistar.co","Discovery Channel","Discovery Channel","mejor para match general"
"a01o","Discovery Home & Health","True","directv.com.co","Discovery Home & Health Latino(DH&H)(229)","Discovery Home & Health","preferido sobre Home & Health HD"
"a00s","Discovery Kids HD","True","directv.com.co","Discovery Kids HD(KIDSHD)(1330)","Discovery Kids HD","match fuerte"
"a00t","DISCOVERY TURBO","True","manual-user","DISCOVERY TURBO","DISCOVERY TURBO","renombre manual confirmado por usuario"
"a00u","DISCOVERY WORLD HD","True","manual-user","DISCOVERY WORLD HD","DISCOVERY WORLD HD","renombre manual confirmado por usuario"
"a00v","Disney Channel HD","True","directv.com.co","Disney HD(DISNHD)(1312)","Disney HD","preferido si tu feed usa variante HD"
"a00w","Disney Junior","True","claro.com.co","DISNEY JUNIOR","Disney Junior","preferido sobre Disney Jr"
"a00x","E! Entertainment TV","True","movistar.co","E! Entertainment TV","E! Entertainment TV","match fuerte en Movistar"
"a018","Ecuavisa Internacional (ECUA)","True","manual-user","Ecuavisa Internacional (ECUA)","Ecuavisa Internacional (ECUA)","renombre manual confirmado por usuario"
"a019","El Gourmet HD(GOURHD)","True","manual-user","El Gourmet HD(GOURHD)","El Gourmet HD(GOURHD)","renombre manual confirmado por usuario"
"a016","El Tiempo","False","directv.com.co","El Tiempo (COL)(TMPO)(146)","El Tiempo","preferido sobre Canal El Tiempo"
